,Age,Embarked,Survived,Pclass,Sex,SibSp,Parch,Fare
0,22.0,Southampton,0,3,male,1,0,7.25
2,26.0,Southampton,1,3,female,0,0,7.925
3,35.0,Southampton,1,1,female,1,0,53.1
4,35.0,Southampton,0,3,male,0,0,8.05
5,29.69911764705882,Queenstown,0,3,male,0,0,8.4583
6,54.0,Southampton,0,1,male,0,0,51.8625
7,2.0,Southampton,0,3,male,3,1,21.075
8,27.0,Southampton,1,3,female,0,2,11.1333
9,14.0,Cherbourg,1,2,female,1,0,30.0708
10,4.0,Southampton,1,3,female,1,1,16.7
11,58.0,Southampton,1,1,female,0,0,26.55
12,20.0,Southampton,0,3,male,0,0,8.05
13,39.0,Southampton,0,3,male,1,5,31.275
14,14.0,Southampton,0,3,female,0,0,7.8542
15,55.0,Southampton,1,2,female,0,0,16.0
16,2.0,Queenstown,0,3,male,4,1,29.125
17,29.69911764705882,Southampton,1,2,male,0,0,13.0
18,31.0,Southampton,0,3,female,1,0,18.0
19,29.69911764705882,Cherbourg,1,3,female,0,0,7.225
20,35.0,Southampton,0,2,male,0,0,26.0
21,34.0,Southampton,1,2,male,0,0,13.0
22,15.0,Queenstown,1,3,female,0,0,8.0292
23,28.0,Southampton,1,1,male,0,0,35.5
24,8.0,Southampton,0,3,female,3,1,21.075
25,38.0,Southampton,1,3,female,1,5,31.3875
26,29.69911764705882,Cherbourg,0,3,male,0,0,7.225
28,29.69911764705882,Queenstown,1,3,female,0,0,7.8792
29,29.69911764705882,Southampton,0,3,male,0,0,7.8958
30,40.0,Cherbourg,0,1,male,0,0,27.7208
32,29.69911764705882,Queenstown,1,3,female,0,0,7.75
33,66.0,Southampton,0,2,male,0,0,10.5
35,42.0,Southampton,0,1,male,1,0,52.0
36,29.69911764705882,Cherbourg,1,3,male,0,0,7.2292
37,21.0,Southampton,0,3,male,0,0,8.05
38,18.0,Southampton,0,3,female,2,0,18.0
39,14.0,Cherbourg,1,3,female,1,0,11.2417
40,40.0,Southampton,0,3,female,1,0,9.475
41,27.0,Southampton,0,2,female,1,0,21.0
42,29.69911764705882,Cherbourg,0,3,male,0,0,7.8958
43,3.0,Cherbourg,1,2,female,1,2,41.5792
44,19.0,Queenstown,1,3,female,0,0,7.8792
45,29.69911764705882,Southampton,0,3,male,0,0,8.05
46,29.69911764705882,Queenstown,0,3,male,1,0,15.5
47,29.69911764705882,Queenstown,1,3,female,0,0,7.75
48,29.69911764705882,Cherbourg,0,3,male,2,0,21.6792
49,18.0,Southampton,0,3,female,1,0,17.8
50,7.0,Southampton,0,3,male,4,1,39.6875
51,21.0,Southampton,0,3,male,0,0,7.8
53,29.0,Southampton,1,2,female,1,0,26.0
